alias,market,season,opp_alias,opp_market,win,wins,losses,win_pct,off_ptsperposs,def_ptsperposs,net_ptsperposs,possperg,adj_off_ptsperposs,adj_def_ptsperposs,adj_net_ptsperposs,adj_possperg,off_sd,def_sd,opp_adj_net_ptsperposs,seed,gopp_wins,gopp_losses,gopp_win_pct,gopp_off_ptsperposs,gopp_def_ptsperposs,gopp_net_ptsperposs,gopp_possperg,gopp_adj_off_ptsperposs,gopp_adj_def_ptsperposs,gopp_adj_net_ptsperposs,gopp_adj_possperg,gopp_off_sd,gopp_def_sd,gopp_opp_adj_net_ptsperposs,gopp_seed
VILL,Villanova,2017,ALA,Alabama,True,30,4,0.882352941,1.237665161,0.9880288620000001,0.24963629899999998,70.34117647,1.349360149,0.9460842279999999,0.40327592100000004,69.9468902,0.147316656,0.126021797,0.07560431299999999,1.0,19,15,0.558823529,1.0444972829999999,0.99698265,0.047514632,69.27058824,1.043071906,0.9718252340000001,0.071246672,69.03575738,0.129220547,0.133652149,0.09162484300000001,9.0
VT,Virginia Tech,2017,ALA,Alabama,False,21,11,0.65625,1.13711331,1.024542615,0.112570695,70.10625,1.172657225,1.015916434,0.15674079,70.47104025,0.156819232,0.12843258400000002,0.060658337,8.0,19,15,0.558823529,1.0444972829999999,0.99698265,0.047514632,69.27058824,1.043071906,0.9718252340000001,0.071246672,69.03575738,0.129220547,0.133652149,0.09162484300000001,9.0
URI,Rhode Island,2017,OKLA,Oklahoma,True,25,7,0.78125,1.100279809,0.989977221,0.11030258800000001,69.24375,1.127360262,0.9616107209999999,0.165749541,69.48240943,0.164511866,0.127470236,0.048236891,7.0,18,13,0.580645161,1.106454317,1.059793987,0.04666033,76.96774194,1.137506484,1.058654145,0.07885233900000001,80.62919422,0.125166003,0.117688082,0.08576169199999999,10.0
UK,Kentucky,2017,DAV,Davidson,True,24,10,0.705882353,1.104478876,1.012025745,0.09245313,69.47647059,1.139992053,0.991680088,0.148311965,69.53966756,0.153504486,0.08843552,0.11287159199999999,5.0,21,11,0.65625,1.169999043,1.0348458740000002,0.13515316900000002,65.33125,1.246333804,1.018903178,0.22743062600000002,63.57250715,0.187628457,0.11675606599999999,0.022064907,12.0
UK,Kentucky,2017,BUFF,Buffalo,True,24,10,0.705882353,1.104478876,1.012025745,0.09245313,69.47647059,1.139992053,0.991680088,0.148311965,69.53966756,0.153504486,0.08843552,0.11287159199999999,5.0,26,8,0.764705882,1.131298069,1.0179995259999999,0.113298543,74.95294118,1.1804530579999999,1.002980918,0.17747214,77.26199656,0.14165785,0.11058348,0.024691337999999997,13.0
WVU,West Virginia,2017,MRSH,Marshall,True,24,10,0.705882353,1.125290988,0.99322608,0.132064908,70.75294118,1.167183555,0.973673806,0.193509748,71.46190626,0.128280972,0.18696686399999998,0.070590418,5.0,24,10,0.705882353,1.097869405,1.019166413,0.078702992,76.75294118,1.1252504140000001,1.01197698,0.113273434,79.95454361,0.11117900300000001,0.122077826,0.031050007,13.0
WICH,Wichita State,2017,MRSH,Marshall,False,25,7,0.78125,1.178245054,1.012057807,0.16618724699999998,70.44375,1.2506565509999998,1.008295468,0.242361083,71.10517873,0.124828102,0.172961505,0.055425555999999994,4.0,24,10,0.705882353,1.097869405,1.019166413,0.078702992,76.75294118,1.1252504140000001,1.01197698,0.113273434,79.95454361,0.11117900300000001,0.122077826,0.031050007,13.0
WVU,West Virginia,2017,MURR,Murray State,True,24,10,0.705882353,1.125290988,0.99322608,0.132064908,70.75294118,1.167183555,0.973673806,0.193509748,71.46190626,0.128280972,0.18696686399999998,0.070590418,5.0,26,5,0.838709677,1.1682421459999999,0.961120045,0.207122101,67.56774194,1.218073275,0.9412327009999999,0.276840574,66.44877170000001,0.131614325,0.128091036,-0.048955688,12.0
UNCG,UNC Greensboro,2017,GONZ,Gonzaga,False,27,7,0.794117647,1.0778391440000001,0.933620917,0.144218227,68.16470588,1.081583677,0.892104007,0.18947967,67.14332237,0.142592887,0.129099943,-0.041151888,13.0,30,4,0.882352941,1.198081735,0.953216374,0.244865361,70.52941176,1.268832078,0.9078391579999999,0.36099292,71.49548471,0.133441325,0.117088615,0.01774627,4.0
OSU,Ohio State,2017,GONZ,Gonzaga,False,24,8,0.75,1.1182815529999999,0.9795281370000001,0.138753415,67.79375,1.153032028,0.950204376,0.202827652,67.12862547,0.131794451,0.136066317,0.104582248,5.0,30,4,0.882352941,1.198081735,0.953216374,0.244865361,70.52941176,1.268832078,0.9078391579999999,0.36099292,71.49548471,0.133441325,0.117088615,0.01774627,4.0
